"From"	"to"	"rValue"	"pValue"	"n"	"colMeans..t.."	"From_type"	"To_type"
"147"	"ASV_1053"	"ASV_925"	0.604267319353088	0.0374290381434986	4361	0.000991959373416453	"Other"	"Other"
"148"	"ASV_1053"	"ASV_1051"	0.738548945875996	0.00608084792708854	4362	0.000991959373416453	"Other"	"Other"
"149"	"ASV_1053"	"ASV_1324"	0.983471074380165	5.43088809074016e-07	4363	0.000991959373416453	"Other"	"Other"
"150"	"ASV_1053"	"ASV_1457"	0.839653750536851	0.0243403548284655	4364	0.000991959373416453	"Other"	"Other"
"151"	"ASV_1053"	"ASV_1989"	0.853765578276966	0.0175734787786925	4365	0.000991959373416453	"Other"	"Other"
"152"	"ASV_1053"	"ASV_2786"	0.853765578276966	0.0175734787786925	4366	0.000991959373416453	"Other"	"Other"
"153"	"ASV_1059"	"ASV_25"	0.766187853913026	0.00365935528145398	4367	0.000443034136990773	"Other"	"Shared"
"154"	"ASV_1059"	"ASV_37"	0.780457009902883	0.00274130880619514	4368	0.000443034136990773	"Other"	"Shared"
"155"	"ASV_1059"	"ASV_39"	0.766187853913026	0.00365935528145398	4369	0.000443034136990773	"Other"	"Shared"
"156"	"ASV_1059"	"ASV_48"	0.711774004593672	0.00942044536505267	4370	0.000443034136990773	"Other"	"Shared"
"157"	"ASV_1059"	"ASV_64"	0.713039381600755	0.00923727056446864	4371	0.000443034136990773	"Other"	"Shared"
"158"	"ASV_1059"	"ASV_73"	0.719469082332963	0.00834724847815852	4372	0.000443034136990773	"Other"	"Shared"
"159"	"ASV_1059"	"ASV_85"	0.719469082332963	0.00834724847815852	4373	0.000443034136990773	"Other"	"Shared"
"160"	"ASV_1059"	"ASV_102"	0.780457009902883	0.00274130880619514	4374	0.000443034136990773	"Other"	"Shared"
"161"	"ASV_1059"	"ASV_120"	0.780457009902883	0.00274130880619514	4375	0.000443034136990773	"Other"	"Shared"
"162"	"ASV_1059"	"ASV_136"	0.686746987951807	0.013629180440748	4376	0.000443034136990773	"Other"	"Shared"
"163"	"ASV_1059"	"ASV_137"	0.630547667861664	0.0279363192412668	4377	0.000443034136990773	"Other"	"Other"
"164"	"ASV_1059"	"ASV_147"	0.614989552184821	0.0333149976621793	4378	0.000443034136990773	"Other"	"Shared"
"165"	"ASV_1059"	"ASV_196"	0.747926870226103	0.00515414675450765	4379	0.000443034136990773	"Other"	"Other"
"166"	"ASV_1059"	"ASV_214"	0.747926870226103	0.00515414675450765	4380	0.000443034136990773	"Other"	"Other"
"167"	"ASV_1059"	"ASV_270"	0.766187853913026	0.00365935528145398	4381	0.000443034136990773	"Other"	"Shared"
"168"	"ASV_1059"	"ASV_273"	0.747926870226103	0.00515414675450765	4382	0.000443034136990773	"Other"	"Shared"
"169"	"ASV_1059"	"ASV_277"	0.744177839749445	0.00551080751586479	4383	0.000443034136990773	"Other"	"Shared"
"170"	"ASV_1059"	"ASV_387"	0.780457009902883	0.00274130880619514	4384	0.000443034136990773	"Other"	"Other"
"171"	"ASV_1059"	"ASV_436"	0.766187853913026	0.00365935528145398	4385	0.000443034136990773	"Other"	"Other"
"172"	"ASV_1059"	"ASV_440"	0.803439063171098	0.00164397431893605	4386	0.000443034136990773	"Other"	"Other"
"173"	"ASV_1059"	"ASV_460"	0.684423645395585	0.0140802405692727	4387	0.000443034136990773	"Other"	"Shared"
"174"	"ASV_1059"	"ASV_524"	0.895600070934086	8.17798722781158e-05	4388	0.000443034136990773	"Other"	"Other"
"175"	"ASV_1059"	"ASV_558"	0.803439063171098	0.00164397431893605	4389	0.000443034136990773	"Other"	"Other"
"176"	"ASV_1059"	"ASV_564"	0.803439063171098	0.00164397431893605	4390	0.000443034136990773	"Other"	"Shared"
"177"	"ASV_1059"	"ASV_569"	0.630547667861664	0.0279363192412668	4391	0.000443034136990773	"Other"	"Shared"
"178"	"ASV_1059"	"ASV_634"	0.764246913748118	0.00380027738069161	4392	0.000443034136990773	"Other"	"Shared"
"179"	"ASV_1059"	"ASV_682"	0.839316741749274	0.000639893531983427	4393	0.000443034136990773	"Other"	"Other"
"180"	"ASV_1059"	"ASV_711"	0.803439063171098	0.00164397431893605	4394	0.000443034136990773	"Other"	"Shared"
"181"	"ASV_1059"	"ASV_728"	0.754448876392373	0.00457552521238941	4395	0.000443034136990773	"Other"	"Other"
"182"	"ASV_1059"	"ASV_738"	0.813237100526843	0.00129570535341906	4396	0.000443034136990773	"Other"	"Other"
"183"	"ASV_1059"	"ASV_739"	0.840990310511276	0.000609062285156136	4397	0.000443034136990773	"Other"	"Other"
"184"	"ASV_1059"	"ASV_741"	0.906522023018648	4.79629045026048e-05	4398	0.000443034136990773	"Other"	"Other"
"185"	"ASV_1059"	"ASV_784"	0.839653750536851	0.000633589946956759	4399	0.000443034136990773	"Other"	"Other"
"186"	"ASV_1059"	"ASV_833"	0.764536645919341	0.00377898425686658	4400	0.000443034136990773	"Other"	"Shared"
"187"	"ASV_1059"	"ASV_844"	0.630547667861664	0.0279363192412668	4401	0.000443034136990773	"Other"	"Other"
"188"	"ASV_1059"	"ASV_868"	0.895600070934086	8.17798722781158e-05	4402	0.000443034136990773	"Other"	"Other"
"189"	"ASV_1059"	"ASV_891"	0.906522023018648	4.79629045026048e-05	4403	0.000443034136990773	"Other"	"Other"
"190"	"ASV_1059"	"ASV_934"	0.895600070934086	8.17798722781158e-05	4404	0.000443034136990773	"Other"	"Other"
"191"	"ASV_1059"	"ASV_962"	0.839653750536851	0.000633589946956759	4405	0.000443034136990773	"Other"	"Other"
"192"	"ASV_1059"	"ASV_989"	0.839316741749274	0.000639893531983427	4406	0.000443034136990773	"Other"	"Other"
"193"	"ASV_1059"	"ASV_1011"	0.987951807228916	1.9593826644181e-09	4407	0.000443034136990773	"Other"	"Other"
